Sat 30 Dec 2017 15:20:01 INFO main.py 76 8968 2017-12-30T15:20:01.183065: step 1, loss 8.92817, acc 0.01, score 1.07307004929, wrong 100.0, 1.1207798 secs/batch
Sat 30 Dec 2017 15:20:02 INFO main.py 76 8968 2017-12-30T15:20:02.189277: step 2, loss 9.14388, acc 0.14, score 1.31727564335, wrong 100.0, 0.9866977 secs/batch
Sat 30 Dec 2017 15:20:03 INFO main.py 76 8968 2017-12-30T15:20:03.171972: step 3, loss 9.21935, acc 0.03, score 0.848901510239, wrong 100.0, 0.9786921 secs/batch
Sat 30 Dec 2017 15:20:04 INFO main.py 76 8968 2017-12-30T15:20:04.207204: step 4, loss 9.82901, acc 0.1, score 0.714937806129, wrong 100.0, 1.0262265 secs/batch
Sat 30 Dec 2017 15:20:05 INFO main.py 76 8968 2017-12-30T15:20:05.227426: step 5, loss 9.40215, acc 0.01, score 0.601113736629, wrong 100.0, 1.0112159 secs/batch
Sat 30 Dec 2017 15:20:06 INFO main.py 76 8968 2017-12-30T15:20:06.257154: step 6, loss 9.48102, acc 0.13, score 0.917220890522, wrong 100.0, 1.0247262 secs/batch
Sat 30 Dec 2017 15:20:07 INFO main.py 76 8968 2017-12-30T15:20:07.280378: step 7, loss 9.97156, acc 0.01, score 0.047833442688, wrong 100.0, 1.0167193 secs/batch
Sat 30 Dec 2017 15:20:08 INFO main.py 76 8968 2017-12-30T15:20:08.285265: step 8, loss 9.95588, acc 0.01, score 0.0557759404182, wrong 100.0, 0.9998825 secs/batch
Sat 30 Dec 2017 15:20:09 INFO main.py 76 8968 2017-12-30T15:20:09.353020: step 9, loss 9.18765, acc 0.0, score 0.812349557877, wrong 100.0, 1.0652530 secs/batch
Sat 30 Dec 2017 15:20:10 INFO main.py 76 8968 2017-12-30T15:20:10.353727: step 10, loss 8.73891, acc 0.18, score 2.33022859693, wrong 100.0, 0.9947000 secs/batch
Sat 30 Dec 2017 15:20:11 INFO main.py 76 8968 2017-12-30T15:20:11.352937: step 11, loss 9.54337, acc 0.06, score 0.649010002613, wrong 100.0, 0.9912012 secs/batch
Sat 30 Dec 2017 15:20:12 INFO main.py 76 8968 2017-12-30T15:20:12.393168: step 12, loss 9.46584, acc 0.01, score 0.562364041805, wrong 100.0, 1.0322304 secs/batch
Sat 30 Dec 2017 15:20:13 INFO main.py 76 8968 2017-12-30T15:20:13.432422: step 13, loss 10.4439, acc 0.06, score -0.275871515274, wrong 100.0, 1.0322404 secs/batch
Sat 30 Dec 2017 15:20:14 INFO main.py 76 8968 2017-12-30T15:20:14.448641: step 14, loss 9.42769, acc 0.0, score 0.572306990623, wrong 100.0, 1.0102136 secs/batch
Sat 30 Dec 2017 15:20:15 INFO main.py 76 8968 2017-12-30T15:20:15.467861: step 15, loss 9.83713, acc 0.08, score 0.371886134148, wrong 100.0, 1.0147157 secs/batch
Sat 30 Dec 2017 15:20:16 INFO main.py 76 8968 2017-12-30T15:20:16.523608: step 16, loss 9.41968, acc 0.0, score 0.580316007137, wrong 100.0, 1.0507431 secs/batch
Sat 30 Dec 2017 15:20:17 INFO main.py 76 8968 2017-12-30T15:20:17.562843: step 17, loss 10.0908, acc 0.05, score 0.0482916235924, wrong 100.0, 1.0297275 secs/batch
Sat 30 Dec 2017 15:20:18 INFO main.py 76 8968 2017-12-30T15:20:18.618089: step 18, loss 9.45268, acc 0.0, score 0.547323822975, wrong 100.0, 1.0472381 secs/batch
Sat 30 Dec 2017 15:20:19 INFO main.py 76 8968 2017-12-30T15:20:19.658325: step 19, loss 9.2537, acc 0.01, score 0.751077413559, wrong 100.0, 1.0337329 secs/batch
Sat 30 Dec 2017 15:20:20 INFO main.py 76 8968 2017-12-30T15:20:20.685552: step 20, loss 10.1334, acc 0.12, score 0.524725973606, wrong 100.0, 1.0202191 secs/batch
Sat 30 Dec 2017 15:20:21 INFO main.py 76 8968 2017-12-30T15:20:21.712778: step 21, loss 9.12525, acc 0.0, score 0.874745965004, wrong 100.0, 1.0237236 secs/batch
Sat 30 Dec 2017 15:20:22 INFO main.py 76 8968 2017-12-30T15:20:22.752532: step 22, loss 8.74553, acc 0.15, score 2.21926265955, wrong 100.0, 1.0342321 secs/batch
Sat 30 Dec 2017 15:20:23 INFO main.py 76 8968 2017-12-30T15:20:23.774255: step 23, loss 9.60367, acc 0.06, score 0.624556005001, wrong 100.0, 1.0152173 secs/batch
Sat 30 Dec 2017 15:20:24 INFO main.py 76 8968 2017-12-30T15:20:24.803983: step 24, loss 8.68829, acc 0.0, score 1.31170845032, wrong 100.0, 1.0257280 secs/batch
Sat 30 Dec 2017 15:20:25 INFO main.py 76 8968 2017-12-30T15:20:25.832711: step 25, loss 9.76005, acc 0.24, score 2.27318310738, wrong 99.0, 1.0217226 secs/batch
Sat 30 Dec 2017 15:20:26 INFO main.py 76 8968 2017-12-30T15:20:26.872968: step 26, loss 9.47348, acc 0.02, score 0.572982788086, wrong 100.0, 1.0357544 secs/batch
